Shiran&yonatan,,,,,,,,,,,,Boaz,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,alt,lat,lon,Equal,lat diff,lon diff ,alt diff,,,,,,lat,lon,alt,
01/12/2017 10:59,Lenovo PB2-690Y,18:d6:c7:97:bd:2a,hot,40,32.17013195,34.81237323,1,0,0,0,,18:d6:c7:97:bd:2a,hot,11,-86,32.17013195,34.81237323,40,01/12/2017 10:59
01/12/2017 10:44,Lenovo PB2-690Y,18:d6:c7:fb:1c:0e,Oberyn Martell,35.21775225,32.16889422,34.81086515,1,0,0,0,,18:d6:c7:fb:1c:0e,Oberyn Martell,8,-79,32.16889422,34.81086515,35.21775225,01/12/2017 10:44
01/12/2017 10:46,SM-G950F,20:0c:c8:0a:ef:2a,SHAHAF2.4,26.59308527,32.17198535,34.81299604,1,2.77602E-10,2.836E-09,1.0279E-09,,20:0c:c8:0a:ef:2a,SHAHAF2.4,11,-82,32.17198535,34.81299604,26.59308527,01/12/2017 10:46
01/12/2017 10:44,Lenovo PB2-690Y,20:0c:c8:0f:21:93,ELCHARAR_2.4,31.36899475,32.16946912,34.81121735,1,2.1224E-09,1.7884E-09,3.323E-10,,20:0c:c8:0f:21:93,ELCHARAR_2.4,1,-89,32.16946912,34.81121735,31.36899475,01/12/2017 10:51
01/12/2017 10:43,Lenovo PB2-690Y,20:0c:c8:1b:a2:48,Mevohot_1,36.14795188,32.17238485,34.81335251,1,2.7603E-09,2.6751E-09,1.4487E-09,,20:0c:c8:1b:a2:48,Mevohot_1,6,-70,32.17238485,34.81335251,36.14795188,01/12/2017 10:49
01/12/2017 10:44,Lenovo PB2-690Y,20:0c:c8:1d:c8:2b,Neeman2.4,34.60026304,32.16994716,34.81094266,1,1.5631E-09,8.23896E-10,1.0299E-09,,20:0c:c8:1d:c8:2b,Neeman2.4,1,-78,32.16994716,34.81094266,34.60026304,01/12/2017 10:50
01/12/2017 10:44,SM-G950F,20:0c:c8:1d:c8:2c,Neeman2.4_5,28.28929069,32.17005047,34.81100762,1,2.563E-09,4.3519E-09,1.2306E-09,,20:0c:c8:1d:c8:2c,Neeman2.4_5,60,-89,32.17005047,34.81100762,28.28929069,01/12/2017 10:44
01/12/2017 10:45,SM-G950F,20:0c:c8:2b:2a:14,nina,32.27137764,32.16956681,34.8122956,1,2.08242E-05,9.03097E-05,0.302562542,,20:0c:c8:2b:2a:14,nina,11,-67,32.16958763,34.81220529,31.9688151,01/12/2017 10:57
01/12/2017 10:45,Lenovo PB2-690Y,28:80:23:40:5f:af,HP-Print-AF-Officejet Pro 6830,36.28838809,32.17107124,34.81267285,1,0.000145563,0.000100299,0.436084874,,28:80:23:40:5f:af,HP-Print-AF-Officejet Pro 6830,6,-70,32.17092568,34.81277315,36.72447296,01/12/2017 11:00
01/12/2017 10:56,SM-G950F,28:80:23:f6:e0:c1,HP-Print-C1-Deskjet 4640 series,32.68000823,32.16904151,34.81061145,1,4.1449E-05,1.7259E-05,1.258355756,,28:80:23:f6:e0:c1,HP-Print-C1-Deskjet 4640 series,11,-81,32.16908296,34.81062871,31.42165247,01/12/2017 10:56
01/12/2017 10:58,Lenovo PB2-690Y,28:f3:66:9d:dc:cb,Pantum-AP-9DDCCB,37,32.17021581,34.81353649,1,0,0,0,,28:f3:66:9d:dc:cb,Pantum-AP-9DDCCB,11,-84,32.17021581,34.81353649,37,01/12/2017 10:58
01/12/2017 10:43,Lenovo PB2-690Y,30:b5:c2:6e:12:d4,HOTBOX1234,47,32.1724962,34.81260015,1,0,0,0,,30:b5:c2:6e:12:d4,HOTBOX1234,1,-88,32.1724962,34.81260015,47,01/12/2017 10:43
